Id	Description	Qty	Unit	Designators
1	Cable, 2 wires	0	m	W5
2	Cable, 4 wires	0	m	W1, W2, W3
3	Cable, 5 wires	0	m	W7
4	Cable, 6 wires	0	m	W4, W6
5	Connector, Compute Board, Male, 2 pins	1		LimitSwitch1
6	Connector, Compute Board, Male, 4 pins	2		MotorEncoder1, SensorBoard1
7	Connector, Compute Board, Male, 5 pins	1		BlueRaven1
8	Connector, Compute Board, Male, 6 pins	1		MotorDriver1
9	Connector, Controler, Screw, 5 pins	1		MotorControler_OUT
10	Connector, Controler, Screw, 6 pins	1		MotorControler_IN
11	Connector, Motor, Female, 5 pins	1		Motor
12	Connector, Sensor, Clip, 2 pins	1		LimitSwitch
13	Connector, Sensor, Male, 30 pins	1		VN-100_J5
14	Connector, Sensor, Male, 4 pins	1		SensorBoard
15	Connector, Sensor, Micro-USB, 1 pins	1		BlueRaven
16	Connector, compute Board, Male, 6 pins	1		VN-100-1
17	Connector, sensor, clip, 4 pins	1		MotorEncoder
